Time;PlayerID;PositionX;PositionZ;ForwardX;ForwardZ;Velocity;IsExtracting;IsAllowedToMove;WaitingForExtraction;CoinAmount;VisiblePlayers;
0.009765625;0;-19.54848;-17.55913;0.9563773;-0.2921344;0;False;True;False;320;( );
0.04309082;0;-19.54848;-17.55913;0.9563773;-0.2921344;0;False;True;False;320;( );
0.09313965;0;-19.54848;-17.55913;0.9563773;-0.2921344;0;False;True;False;320;( );
0.1264648;0;-19.54848;-17.55913;0.9563773;-0.2921344;0;False;True;False;320;( );
0.15979;0;-19.54848;-17.55913;0.9563773;-0.2921344;0;False;True;False;320;( );
0.2098389;0;-19.54848;-17.55913;0.9563773;-0.2921344;0;False;True;False;320;( );
0.2431641;0;-19.54848;-17.55913;0.9563773;-0.2921344;0;False;True;False;320;( );
0.2930908;0;-19.51999;-17.56783;0.9563773;-0.2921344;0.8426931;False;True;False;320;( );
0.3265381;0;-19.48442;-17.5787;0.9563773;-0.2921344;1.196278;False;True;False;320;( );
0.3598633;0;-19.44025;-17.59219;0.9563773;-0.2921344;1.441789;False;True;False;320;( );
0.40979;0;-19.36339;-17.61567;0.9563773;-0.2921344;1.676873;False;True;False;320;( );
0.4431152;0;-19.30744;-17.63276;0.9563773;-0.2921344;1.775704;False;True;False;320;( );
0.4931641;0;-19.21933;-17.65968;0.9563773;-0.2921344;1.870204;False;True;False;320;( );
0.5264893;0;-19.15874;-17.67818;0.9563773;-0.2921344;1.90986;False;True;False;320;( );
0.5598145;0;-19.09718;-17.69699;0.9563773;-0.2921344;1.9374;False;True;False;320;( );
0.6098633;0;-19.0037;-17.72554;0.9563773;-0.2921344;1.96376;False;True;False;320;( );
0.6431885;0;-18.9408;-17.74475;0.9563773;-0.2921344;1.974838;False;True;False;320;( );
0.6931152;0;-18.84599;-17.77372;0.9563773;-0.2921344;1.98544;False;True;False;320;( );
0.7264404;0;-18.78264;-17.7932;0.953111;-0.3026211;1.989888;False;True;False;320;( );
0.7597656;0;-18.71938;-17.81363;0.9462619;-0.3234013;1.992981;False;True;False;320;( );
0.8098145;0;-18.6255;-17.84723;0.9303309;-0.3667213;1.995937;False;True;False;320;( );
0.8431396;0;-18.5638;-17.8722;0.9162797;-0.4005392;1.997179;False;True;False;320;( );
0.8931885;0;-18.47304;-17.91402;0.8904579;-0.4550658;1.998368;False;True;False;320;( );
0.9265137;0;-18.4141;-17.94493;0.8703133;-0.4924985;1.998866;False;True;False;320;( );
0.9598389;0;-18.35644;-17.9784;0.8479154;-0.5301316;1.999213;False;True;False;320;( );
1.009888;0;-18.27288;-18.03326;0.8104265;-0.5858405;1.999544;False;True;False;320;( );
1.043091;0;-18.21928;-18.07294;0.7829669;-0.6220634;1.999684;False;True;False;320;( );
1.09314;0;-18.14247;-18.13688;0.7384005;-0.6743625;1.999817;False;True;False;320;( );
1.126465;0;-18.09377;-18.1824;0.7092741;-0.7049328;1.999873;False;True;False;320;( );
1.15979;0;-18.04691;-18.22972;0.6883166;-0.7254105;1.999912;False;True;False;320;( );
1.209839;0;-17.97879;-18.30304;0.6676602;-0.7444661;1.999949;False;True;False;320;( );
1.243164;0;-17.93446;-18.3528;0.6588447;-0.752279;1.999964;False;True;False;320;( );
1.293213;0;-17.86886;-18.42834;0.6503117;-0.7596675;1.999979;False;True;False;320;( );
1.326538;0;-17.82558;-18.47902;0.6467087;-0.762737;1.999986;False;True;False;320;( );
1.359863;0;-17.78251;-18.52992;0.644197;-0.7648596;1.99999;False;True;False;320;( );
1.40979;0;-17.71819;-18.60647;0.6417862;-0.7668837;1.999994;False;True;False;320;( );
1.443237;0;-17.67543;-18.6576;0.6407722;-0.7677311;1.999996;False;True;False;320;( );
1.493164;0;-17.61135;-18.73445;0.6397997;-0.7685416;1.999998;False;True;False;320;( );
1.526489;0;-17.56872;-18.78568;0.6393917;-0.7688813;1.999998;False;True;False;320;( );
1.559814;0;-17.52612;-18.83691;0.6391082;-0.7691168;1.999999;False;True;False;320;( );
1.609863;0;-17.46221;-18.91385;0.6388366;-0.7693424;1.999999;False;True;False;320;( );
1.643066;0;-17.41966;-18.96509;0.6387227;-0.7694371;2;False;True;False;320;( );
1.693115;0;-17.35574;-19.0421;0.6386133;-0.7695278;2;False;True;False;320;( );
1.726563;0;-17.31316;-19.09341;0.6385675;-0.7695658;2;False;True;False;320;( );
1.759888;0;-17.27059;-19.14471;0.6385357;-0.7695923;2;False;True;False;320;( );
1.809814;0;-17.20676;-19.22165;0.6385052;-0.7696176;2;False;True;False;320;( );
1.84314;0;-17.16423;-19.27291;0.6384924;-0.7696282;2;False;True;False;320;( );
1.893188;0;-17.10032;-19.34995;0.6384801;-0.7696383;2;False;True;False;320;( );
1.926514;0;-17.05778;-19.40123;0.638475;-0.7696426;2;False;True;False;320;( );
1.959839;0;-17.01521;-19.45254;0.6384715;-0.7696455;2;False;True;False;320;( );
2.009888;0;-16.95136;-19.52951;0.638468;-0.7696483;2;False;True;False;320;( );
2.043213;0;-16.90877;-19.58085;0.6384667;-0.7696495;2;False;True;False;320;( );
2.09314;0;-16.84494;-19.6578;0.6384653;-0.7696506;2;False;True;False;320;( );
2.126465;0;-16.80236;-19.70913;0.6384647;-0.7696511;2;False;True;False;320;( );
2.159912;0;-16.75979;-19.76044;0.6384643;-0.7696514;2;False;True;False;320;( );
2.209839;0;-16.69594;-19.83741;0.638464;-0.7696518;2;False;True;False;320;( );
2.243164;0;-16.65342;-19.88867;0.6384639;-0.7696518;2;False;True;False;320;( );
2.293213;0;-16.58952;-19.96569;0.6384637;-0.769652;2;False;True;False;320;( );
2.326538;0;-16.547;-20.01695;0.6384636;-0.769652;2;False;True;False;320;( );
2.359863;0;-16.5044;-20.0683;0.6384636;-0.7696521;2;False;True;False;320;( );
2.409912;0;-16.44056;-20.14527;0.6384636;-0.7696521;2;False;True;False;320;( );
2.443115;0;-16.39801;-20.19656;0.6384636;-0.7696521;2;False;True;False;320;( );
2.493164;0;-16.33414;-20.27355;0.6384636;-0.7696521;2;False;True;False;320;( );
2.526489;0;-16.29159;-20.32485;0.6384636;-0.7696521;2;False;True;False;320;( );
2.559814;0;-16.249;-20.37618;0.6384636;-0.7696521;2;False;True;False;320;( );
2.609863;0;-16.18517;-20.45313;0.6384636;-0.7696521;2;False;True;False;320;( );
2.643188;0;-16.14263;-20.50442;0.6384636;-0.7696521;2;False;True;False;320;( );
2.693237;0;-16.07879;-20.58137;0.6384636;-0.7696521;2;False;True;False;320;( );
2.726563;0;-16.03621;-20.63269;0.6384636;-0.7696521;2;False;True;False;320;( );
2.759888;0;-15.99366;-20.68399;0.6384636;-0.7696521;2;False;True;False;320;( );
2.809814;0;-15.92982;-20.76095;0.6384636;-0.7696521;2;False;True;False;320;( );
2.84314;0;-15.88723;-20.81229;0.6384636;-0.7696521;2;False;True;False;320;( );
2.893188;0;-15.82338;-20.88927;0.6384636;-0.7696521;2;False;True;False;320;( );
2.926514;0;-15.78079;-20.9406;0.6384636;-0.7696521;2;False;True;False;320;( );
2.959839;0;-15.73822;-20.99192;0.6384636;-0.7696521;2;False;True;False;320;( );
3.009888;0;-15.67439;-21.06886;0.6384636;-0.7696521;2;False;True;False;320;( );
3.043213;0;-15.63187;-21.12012;0.6384636;-0.7696521;2;False;True;False;320;( );
3.093262;0;-15.56795;-21.19717;0.6384636;-0.7696521;2;False;True;False;320;( );
3.126587;0;-15.5254;-21.24846;0.6384636;-0.7696521;2;False;True;False;320;( );
3.159912;0;-15.48288;-21.29972;0.6384636;-0.7696521;2;False;True;False;320;( );
3.209839;0;-15.41897;-21.37676;0.6384636;-0.7696521;2;False;True;False;320;( );
3.243164;0;-15.37645;-21.42802;0.6384636;-0.7696521;2;False;True;False;320;( );
3.293213;0;-15.31262;-21.50496;0.6384636;-0.7696521;2;False;True;False;320;( );
3.326538;0;-15.27;-21.55635;0.6384636;-0.7696521;2;False;True;False;320;( );
3.359863;0;-15.22743;-21.60766;0.6384636;-0.7696521;2;False;True;False;320;( );
3.409912;0;-15.16361;-21.68459;0.6384636;-0.7696521;2;False;True;False;320;( );
3.443237;0;-15.12102;-21.73594;0.6384636;-0.7696521;2;False;True;False;320;( );
3.493164;0;-15.05721;-21.81286;0.6384636;-0.7696521;2;False;True;False;320;( );
3.526611;0;-15.01459;-21.86423;0.6384636;-0.7696521;2;False;True;False;320;( );
3.559937;0;-14.97207;-21.91549;0.6384636;-0.7696521;2;False;True;False;320;( );
3.609863;0;-14.90819;-21.9925;0.6384636;-0.7696521;2;False;True;False;320;( );
3.643188;0;-14.86563;-22.04381;0.6384636;-0.7696521;2;False;True;False;320;( );
3.693237;0;-14.80175;-22.12081;0.6384636;-0.7696521;2;False;True;False;320;( );
3.726563;0;-14.75922;-22.17207;0.6384636;-0.7696521;2;False;True;False;320;( );
3.759888;0;-14.71663;-22.22342;0.6384636;-0.7696521;2;False;True;False;320;( );
3.809937;0;-14.65282;-22.30035;0.6384636;-0.7696521;2;False;True;False;320;( );
3.843262;0;-14.6103;-22.3516;0.6384636;-0.7696521;2;False;True;False;320;( );
3.893188;0;-14.54639;-22.42864;0.6384636;-0.7696521;2;False;True;False;320;( );
3.926636;0;-14.50387;-22.4799;0.6384636;-0.7696521;2;False;True;False;320;( );
3.959961;0;-14.46121;-22.53132;0.6384636;-0.7696521;2;False;True;False;320;( );
4.009888;0;-14.39741;-22.60823;0.6384636;-0.7696521;2;False;True;False;320;( );
4.043213;0;-14.35486;-22.65953;0.6384636;-0.7696521;2;False;True;False;320;( );
4.093262;0;-14.29099;-22.73651;0.6384636;-0.7696521;2;False;True;False;320;( );
4.126587;0;-14.24843;-22.78782;0.6384636;-0.7696521;2;False;True;False;320;( );
4.159912;0;-14.20588;-22.83911;0.6384636;-0.7696521;2;False;True;False;320;( );
4.209961;0;-14.14201;-22.91611;0.6384636;-0.7696521;2;False;True;False;320;( );
4.243286;0;-14.09945;-22.96742;0.6384636;-0.7696521;2;False;True;False;320;( );
4.293213;0;-14.03559;-23.0444;0.6384636;-0.7696521;2;False;True;False;320;( );
4.326538;0;-13.99307;-23.09566;0.6384636;-0.7696521;2;False;True;False;320;( );
4.359863;0;-13.95047;-23.14701;0.6384636;-0.7696521;2;False;True;False;320;( );
4.409912;0;-13.88668;-23.2239;0.6384636;-0.7696521;2;False;True;False;320;( );
4.443237;0;-13.84405;-23.2753;0.6384636;-0.7696521;2;False;True;False;320;( );
4.493286;0;-13.78024;-23.35221;0.6384636;-0.7696521;2;False;True;False;320;( );
4.526611;0;-13.73764;-23.40356;0.6384636;-0.7696521;2;False;True;False;320;( );
4.559937;0;-13.69507;-23.45488;0.6384636;-0.7696521;2;False;True;False;320;( );
4.609985;0;-13.63114;-23.53175;0.646878;-0.7625935;2;False;True;False;320;( );
4.643311;0;-13.58777;-23.58237;0.6633826;-0.7482804;2;False;True;False;320;( );
4.693237;0;-13.52034;-23.65625;0.6972225;-0.7168548;2;False;True;False;320;( );
4.726563;0;-13.47346;-23.7036;0.7229887;-0.6908599;2;False;True;False;320;( );
4.759888;0;-13.42481;-23.74919;0.7498107;-0.6616524;2;False;True;False;320;( );
4.809937;0;-13.34859;-23.81385;0.7833253;-0.6216119;2;False;True;False;320;( );
4.843262;0;-13.29605;-23.85503;0.7967814;-0.6042677;2;False;True;False;320;( );
4.893188;0;-13.21598;-23.91477;0.8092781;-0.5874258;2;False;True;False;320;( );
4.926636;0;-13.16187;-23.95385;0.8144282;-0.5802644;2;False;True;False;320;( );
4.959961;0;-13.10752;-23.99244;0.8179623;-0.5752718;2;False;True;False;320;( );
5.01001;0;-13.02562;-24.04977;0.8213174;-0.5704715;2;False;True;False;320;( );
5.043213;0;-12.97081;-24.08778;0.8227181;-0.5684496;2;False;True;False;320;( );
5.093262;0;-12.88853;-24.14453;0.8240535;-0.5665119;2;False;True;False;320;( );
5.126587;0;-12.83353;-24.18232;0.8246133;-0.5656968;2;False;True;False;320;( );
5.159912;0;-12.77856;-24.22001;0.8250012;-0.565131;2;False;True;False;320;( );
5.209961;0;-12.69606;-24.27649;0.8253723;-0.5645889;2;False;True;False;320;( );
5.243286;0;-12.64103;-24.31413;0.8255279;-0.5643613;2;False;True;False;320;( );
5.293213;0;-12.55844;-24.37058;0.825677;-0.5641432;2;False;True;False;320;( );
5.32666;0;-12.50345;-24.40815;0.8257394;-0.5640518;2;False;True;False;320;( );
5.359985;0;-12.44837;-24.44578;0.825783;-0.5639881;2;False;True;False;320;( );
5.409912;0;-12.36575;-24.5022;0.8258244;-0.5639274;2;False;True;False;320;( );
5.443237;0;-12.3107;-24.53979;0.8258418;-0.5639018;2;False;True;False;320;( );
5.493286;0;-12.22811;-24.59619;0.8258585;-0.5638774;2;False;True;False;320;( );
5.526611;0;-12.1731;-24.63374;0.8258656;-0.5638671;2;False;True;False;320;( );
5.559937;0;-12.11802;-24.67135;0.8258704;-0.5638601;2;False;True;False;320;( );
5.609985;0;-12.03543;-24.72773;0.8258751;-0.5638533;2;False;True;False;320;( );
5.643311;0;-11.98034;-24.76534;0.825877;-0.5638505;2;False;True;False;320;( );
5.693359;0;-11.8978;-24.8217;0.8258788;-0.5638477;2;False;True;False;320;( );
5.726563;0;-11.84269;-24.85932;0.8258796;-0.5638466;2;False;True;False;320;( );
5.76001;0;-11.78764;-24.89691;0.8258801;-0.5638458;2;False;True;False;320;( );
5.809937;0;-11.70505;-24.9533;0.8258806;-0.563845;2;False;True;False;320;( );
5.843262;0;-11.65001;-24.99087;0.8258809;-0.5638446;2;False;True;False;320;( );
5.893311;0;-11.56747;-25.04722;0.8258812;-0.5638441;2;False;True;False;320;( );
5.926636;0;-11.51237;-25.08484;0.8258812;-0.5638443;2;False;True;False;320;( );
5.959961;0;-11.45726;-25.12231;0.8320225;-0.5547419;2;False;True;False;320;( );
6.01001;0;-11.37342;-25.17694;0.8513449;-0.5246063;2;False;True;False;320;( );
6.043213;0;-11.31645;-25.21144;0.8678038;-0.4969071;2;False;True;False;320;( );
6.093262;0;-11.22872;-25.25957;0.8943358;-0.4473965;2;False;True;False;320;( );
6.126587;0;-11.16887;-25.28877;0.9118236;-0.4105822;2;False;True;False;320;( );
6.159912;0;-11.10775;-25.31552;0.9284782;-0.3713867;2;False;True;False;320;( );
6.209961;0;-11.01414;-25.35061;0.9509459;-0.3093573;2;False;True;False;320;( );
6.243286;0;-10.95048;-25.37053;0.963892;-0.2662933;2;False;True;False;320;( );
6.293335;0;-10.85356;-25.39496;0.9798092;-0.199935;2;False;True;False;320;( );
6.32666;0;-10.7881;-25.40754;0.9879508;-0.1547686;2;False;True;False;320;( );
6.359985;0;-10.72213;-25.41709;0.9940326;-0.1090838;2;False;True;False;320;( );
6.410034;0;-10.62252;-25.4257;0.9992033;-0.03991187;2;False;True;False;320;( );
6.443237;0;-10.55589;-25.42759;0.9999793;0.006436764;2;False;True;False;320;( );
6.493286;0;-10.45602;-25.42463;0.9971108;0.07596082;2;False;True;False;320;( );
6.526611;0;-10.38955;-25.41879;0.9925009;0.122238;2;False;True;False;320;( );
6.559937;0;-10.32342;-25.40986;0.9857395;0.1682786;2;False;True;False;320;( );
