Time;PlayerID;PositionX;PositionZ;ForwardX;ForwardZ;Velocity;IsExtracting;IsAllowedToMove;WaitingForExtraction;CoinAmount;VisiblePlayers;
0.04693604;0;27.5103;-15.59459;0.9996848;-0.02510536;0;False;True;False;178;( );
0.08026123;0;27.5103;-15.59459;0.9996848;-0.02510536;0;False;True;False;178;( );
0.1136475;0;27.5103;-15.59459;0.9996848;-0.02510536;0;False;True;False;178;( );
0.1636353;0;27.5103;-15.59459;0.9996848;-0.02510536;0;False;True;False;178;( );
0.1969604;0;27.5103;-15.59459;0.9996848;-0.02510536;0;False;True;False;178;( );
0.2469482;0;27.5103;-15.59459;0.9996848;-0.02510536;0;False;True;False;178;( );
0.2802734;0;27.5103;-15.59459;0.9996848;-0.02510536;0;False;True;False;178;( );
0.3135986;0;27.5103;-15.59459;0.9996848;-0.02510536;0;False;True;False;178;( );
0.3636475;0;27.5103;-15.59459;0.9996848;-0.02510536;0;False;True;False;178;( );
0.3969727;0;27.5103;-15.59459;0.9996848;-0.02510536;0;False;True;False;178;( );
0.4469604;0;27.5103;-15.59459;0.9996848;-0.02510536;0;False;True;False;178;( );
0.4802856;0;27.5103;-15.59459;0.9996848;-0.02510536;0;False;True;False;178;( );
0.5136108;0;27.5103;-15.59459;0.9996848;-0.02510536;0;False;True;False;178;( );
0.5635986;0;27.5103;-15.59459;0.9996848;-0.02510536;0;False;True;False;178;( );
0.5969849;0;27.5103;-15.59459;0.9996848;-0.02510536;0;False;True;False;178;( );
0.6469116;0;27.51586;-15.59472;0.9996848;-0.02510536;0.3335416;False;True;False;178;( );
0.6802979;0;27.54005;-15.59533;0.9996848;-0.02510536;0.8422743;False;True;False;178;( );
0.713623;0;27.5773;-15.59627;0.9996848;-0.02510536;1.196556;False;True;False;178;( );
0.7636108;0;27.64906;-15.59807;0.9996848;-0.02510536;1.535009;False;True;False;178;( );
0.796936;0;27.70385;-15.59945;0.9996848;-0.02510536;1.67704;False;True;False;178;( );
0.8469849;0;27.79246;-15.60167;0.9996848;-0.02510536;1.813076;False;True;False;178;( );
0.8803101;0;27.85435;-15.60323;0.9996848;-0.02510536;1.870196;False;True;False;178;( );
0.9136353;0;27.91773;-15.60482;0.9996848;-0.02510536;1.909879;False;True;False;178;( );
0.963623;0;28.01451;-15.60725;0.9996848;-0.02510536;1.947837;False;True;False;178;( );
0.9970093;0;28.07982;-15.60889;0.9996848;-0.02510536;1.963774;False;True;False;178;( );
1.046936;0;28.17857;-15.61137;0.9996848;-0.02510536;1.979043;False;True;False;178;( );
1.080322;0;28.24468;-15.61303;0.9996848;-0.02510536;1.985447;False;True;False;178;( );
1.113647;0;28.31094;-15.61469;0.9996848;-0.02510536;1.989892;False;True;False;178;( );
1.163635;0;28.41055;-15.61719;0.9996848;-0.02510536;1.994151;False;True;False;178;( );
1.19696;0;28.47708;-15.61886;0.9996848;-0.02510536;1.995939;False;True;False;178;( );
1.246948;0;28.57691;-15.62137;0.9996848;-0.02510536;1.99765;False;True;False;178;( );
1.280334;0;28.64347;-15.62304;0.9996848;-0.02510536;1.998368;False;True;False;178;( );
1.31366;0;28.71004;-15.62471;0.9995801;-0.02897477;1.998866;False;True;False;178;( );
1.363647;0;28.8099;-15.62841;0.998323;-0.05789149;1.999344;False;True;False;178;( );
1.396973;0;28.87648;-15.63274;0.9961873;-0.08724023;1.999544;False;True;False;178;( );
1.44696;0;28.97591;-15.64316;0.9901114;-0.1402842;1.999736;False;True;False;178;( );
1.480286;0;29.04185;-15.65316;0.9837685;-0.179443;1.999817;False;True;False;178;( );
1.513611;0;29.10723;-15.66579;0.9754292;-0.220313;1.999873;False;True;False;178;( );
1.56366;0;29.20429;-15.68992;0.9589867;-0.2834511;1.999926;False;True;False;178;( );
1.596985;0;29.26803;-15.70954;0.9453822;-0.3259642;1.999949;False;True;False;178;( );
1.646973;0;29.36183;-15.74413;0.9252843;-0.3792742;1.99997;False;True;False;178;( );
1.680298;0;29.42329;-15.76979;0.9159556;-0.4012796;1.999979;False;True;False;178;( );
1.713623;0;29.4843;-15.79685;0.909155;-0.4164578;1.999986;False;True;False;178;( );
1.763672;0;29.57497;-15.83903;0.9024175;-0.4308625;1.999992;False;True;False;178;( );
1.796997;0;29.63508;-15.86787;0.8995216;-0.4368763;1.999994;False;True;False;178;( );
1.846985;0;29.7249;-15.91176;0.8967116;-0.4426152;1.999997;False;True;False;178;( );
1.88031;0;29.78465;-15.9413;0.8955212;-0.4450189;1.999998;False;True;False;178;( );
1.913635;0;29.84437;-15.97102;0.89469;-0.4466876;1.999998;False;True;False;178;( );
1.963623;0;29.93379;-16.01574;0.893892;-0.4482824;1.999999;False;True;False;178;( );
1.997009;0;29.99339;-16.04564;0.8935561;-0.4489517;1.999999;False;True;False;178;( );
2.046997;0;30.08274;-16.09056;0.893234;-0.4495919;2;False;True;False;178;( );
2.080322;0;30.14231;-16.12055;0.8930987;-0.449861;2;False;True;False;178;( );
2.113647;0;30.20177;-16.15065;0.8880082;-0.4598278;2;False;True;False;178;( );
2.163696;0;30.29008;-16.19758;0.8708978;-0.4914644;2;False;True;False;178;( );
2.19696;0;30.34786;-16.23078;0.8545581;-0.5193557;2;False;True;False;178;( );
2.247009;0;30.43236;-16.28426;0.8240265;-0.5665514;2;False;True;False;178;( );
2.280334;0;30.48694;-16.3226;0.8001982;-0.5997357;2;False;True;False;178;( );
2.313721;0;30.5399;-16.36318;0.7763772;-0.6302686;2;False;True;False;178;( );
2.363647;0;30.61662;-16.42724;0.7525092;-0.6585818;2;False;True;False;178;( );
2.396973;0;30.66655;-16.47131;0.7421832;-0.6701972;2;False;True;False;178;( );
2.447021;0;30.74041;-16.53876;0.7321157;-0.6811804;2;False;True;False;178;( );
2.480347;0;30.78916;-16.58427;0.7278411;-0.6857458;2;False;True;False;178;( );
2.513672;0;30.83764;-16.63006;0.7248567;-0.6888998;2;False;True;False;178;( );
2.56366;0;30.91001;-16.69905;0.7219878;-0.6919057;2;False;True;False;178;( );
2.597046;0;30.95809;-16.74518;0.7207801;-0.6931639;2;False;True;False;178;( );
2.647034;0;31.03016;-16.81457;0.7196207;-0.6943674;2;False;True;False;178;( );
