Time;PatchID;PositionX;PositionZ;Radius;CoinAmount;PatchEvent;TriggerPlayer;
0;41;8.387455;-13.83588;3;16;CREATED;;
0;42;0.9173622;-17.278;3;16;CREATED;;
0;43;10.55498;-44.65331;3;16;CREATED;;
0;44;-43.87523;-37.5308;3;16;CREATED;;
0;45;-26.51211;-11.56985;3;16;CREATED;;
0;46;-27.09225;-35.33586;3;16;CREATED;;
0;47;26.19825;16.48835;3;16;CREATED;;
0;48;-42.66146;-8.250416;3;16;CREATED;;
0;49;-26.20795;-18.27618;3;16;CREATED;;
0;50;-20.91341;-34.28741;3;16;CREATED;;
0;51;-37.20138;-0.3847313;3;16;CREATED;;
0;52;-14.31167;-44.98784;3;16;CREATED;;
0;53;-35.96901;10.15784;3;16;CREATED;;
0;54;20.77544;23.1786;3;16;CREATED;;
0;55;39.52943;-30.46596;3;16;CREATED;;
2.203125;48;-42.66146;-8.250416;3;16;DISCOVER;1;
5.210938;48;-42.66146;-8.250416;3;15;EXTRACT;1;
5.695313;53;-35.96901;10.15784;3;16;DISCOVER;0;
7.183594;48;-42.66146;-8.250416;3;14;EXTRACT;1;
8.628906;53;-35.96901;10.15784;3;15;EXTRACT;0;
9.1875;48;-42.66146;-8.250416;3;13;EXTRACT;1;
10.63281;53;-35.96901;10.15784;3;14;EXTRACT;0;
11.19141;48;-42.66146;-8.250416;3;12;EXTRACT;1;
12.63672;53;-35.96901;10.15784;3;13;EXTRACT;0;
13.19922;48;-42.66146;-8.250416;3;11;EXTRACT;1;
14.64063;53;-35.96901;10.15784;3;12;EXTRACT;0;
14.68359;43;10.55498;-44.65331;3;16;DISCOVER;2;
15.20313;48;-42.66146;-8.250416;3;10;EXTRACT;1;
16.60547;53;-35.96901;10.15784;3;11;EXTRACT;0;
17.20703;48;-42.66146;-8.250416;3;9;EXTRACT;1;
17.6875;43;10.55498;-44.65331;3;15;EXTRACT;2;
18.61328;53;-35.96901;10.15784;3;10;EXTRACT;0;
19.21094;48;-42.66146;-8.250416;3;8;EXTRACT;1;
19.69531;43;10.55498;-44.65331;3;14;EXTRACT;2;
20.61719;53;-35.96901;10.15784;3;9;EXTRACT;0;
21.21875;48;-42.66146;-8.250416;3;7;EXTRACT;1;
21.69922;43;10.55498;-44.65331;3;13;EXTRACT;2;
22.62109;53;-35.96901;10.15784;3;8;EXTRACT;0;
23.18359;48;-42.66146;-8.250416;3;6;EXTRACT;1;
23.70703;43;10.55498;-44.65331;3;12;EXTRACT;2;
24.62891;53;-35.96901;10.15784;3;7;EXTRACT;0;
25.1875;48;-42.66146;-8.250416;3;5;EXTRACT;1;
25.71094;43;10.55498;-44.65331;3;11;EXTRACT;2;
26.63281;53;-35.96901;10.15784;3;6;EXTRACT;0;
27.19531;48;-42.66146;-8.250416;3;4;EXTRACT;1;
27.71484;43;10.55498;-44.65331;3;10;EXTRACT;2;
28.64063;53;-35.96901;10.15784;3;5;EXTRACT;0;
