Time;PlayerID;PositionX;PositionZ;ForwardX;ForwardZ;Velocity;IsExtracting;IsAllowedToMove;WaitingForExtraction;CoinAmount;VisiblePlayers;
0.01342773;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.046875;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.09692383;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.130127;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.1801758;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.213623;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.2468262;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.296875;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.3303223;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.380127;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.4135742;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.4467773;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.4968262;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.5302734;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.5803223;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.6135254;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.6469727;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.6967773;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.7302246;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.7802734;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.8134766;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.8469238;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.8969727;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.9301758;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
0.9802246;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
1.013672;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
1.046875;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
1.096924;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
1.130127;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
1.180176;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
1.213623;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
1.246826;0;4.359379;19.061;0.1098622;-0.9939469;0;False;True;False;412;( );
1.296875;0;4.359989;19.05548;0.1098622;-0.9939469;0.3333816;False;True;False;412;( );
1.330322;0;4.362654;19.03138;0.1098622;-0.9939469;0.84289;False;True;False;412;( );
1.380371;0;4.36918;18.97233;0.1098622;-0.9939469;1.330541;False;True;False;412;( );
1.413574;0;4.374634;18.92299;0.1098622;-0.9939469;1.535157;False;True;False;412;( );
1.447021;0;4.380657;18.86849;0.1098622;-0.9939469;1.677192;False;True;False;412;( );
1.496826;0;4.390398;18.78037;0.1098622;-0.9939469;1.813186;False;True;False;412;( );
1.530273;0;4.397192;18.71889;0.1098622;-0.9939469;1.870216;False;True;False;412;( );
1.580322;0;4.407684;18.62398;0.1098622;-0.9939469;1.924916;False;True;False;412;( );
1.613525;0;4.414796;18.55963;0.1098622;-0.9939469;1.947854;False;True;False;412;( );
1.646973;0;4.421967;18.49475;0.1098622;-0.9939469;1.963773;False;True;False;412;( );
1.697021;0;4.432825;18.39653;0.1098622;-0.9939469;1.979048;False;True;False;412;( );
1.730225;0;4.440093;18.33077;0.1098622;-0.9939469;1.985452;False;True;False;412;( );
1.780273;0;4.451023;18.23188;0.1098622;-0.9939469;1.991581;False;True;False;412;( );
1.813477;0;4.458316;18.1659;0.1098622;-0.9939469;1.994151;False;True;False;412;( );
1.846924;0;4.465627;18.09976;0.1098622;-0.9939469;1.995939;False;True;False;412;( );
1.896973;0;4.476591;18.00056;0.1098622;-0.9939469;1.997649;False;True;False;412;( );
1.930176;0;4.483919;17.93426;0.1098622;-0.9939469;1.998368;False;True;False;412;( );
1.980225;0;4.494898;17.83494;0.1098622;-0.9939469;1.999056;False;True;False;412;( );
2.013672;0;4.50222;17.76869;0.1098622;-0.9939469;1.999344;False;True;False;412;( );
