Time;PatchID;PositionX;PositionZ;Radius;CoinAmount;PatchEvent;TriggerPlayer;
0;72;-41.8536;-41.82225;3;16;CREATED;;
0;73;-6.988113;3.2271;3;16;CREATED;;
0;74;-11.42973;29.80726;3;16;CREATED;;
0;75;-21.44021;-0.7097931;3;16;CREATED;;
0;76;36.266;25.88127;3;16;CREATED;;
0;77;7.153931;-35.13878;3;16;CREATED;;
0;78;-6.948051;-18.34829;3;16;CREATED;;
0;79;36.34009;-43.63288;3;16;CREATED;;
0;80;-22.17482;8.529957;3;16;CREATED;;
0;81;40.17309;-30.72647;3;16;CREATED;;
0;82;-36.15107;12.10777;3;16;CREATED;;
0;83;-14.32393;-39.42451;3;16;CREATED;;
0;84;-9.079262;36.67667;3;16;CREATED;;
0;85;41.92016;9.217255;3;16;CREATED;;
0;86;20.1454;-1.444149;3;16;CREATED;;
21.31995;72;-41.8536;-41.82225;3;16;DISCOVER;0;
25.42395;72;-41.8536;-41.82225;3;15;EXTRACT;0;
27.42395;72;-41.8536;-41.82225;3;14;EXTRACT;0;
29.42407;72;-41.8536;-41.82225;3;13;EXTRACT;0;
31.42419;72;-41.8536;-41.82225;3;12;EXTRACT;0;
33.42432;72;-41.8536;-41.82225;3;11;EXTRACT;0;
35.42432;72;-41.8536;-41.82225;3;10;EXTRACT;0;
37.42444;72;-41.8536;-41.82225;3;9;EXTRACT;0;
39.42444;72;-41.8536;-41.82225;3;8;EXTRACT;0;
41.42456;72;-41.8536;-41.82225;3;7;EXTRACT;0;
43.42456;72;-41.8536;-41.82225;3;6;EXTRACT;0;
45.42456;72;-41.8536;-41.82225;3;5;EXTRACT;0;
47.42468;72;-41.8536;-41.82225;3;4;EXTRACT;0;
49.42468;72;-41.8536;-41.82225;3;3;EXTRACT;0;
51.4248;72;-41.8536;-41.82225;3;2;EXTRACT;0;
53.42493;72;-41.8536;-41.82225;3;1;EXTRACT;0;
55.42493;72;-41.8536;-41.82225;3;0;EXTRACT;0;
55.42493;72;-41.8536;-41.82225;3;0;DESTROYED;;
55.45825;87;4.85461;26.99904;3;16;CREATED;;
112.3999;82;-36.15107;12.10777;3;16;DISCOVER;0;
115.927;82;-36.15107;12.10777;3;15;EXTRACT;0;
117.927;82;-36.15107;12.10777;3;14;EXTRACT;0;
119.9271;82;-36.15107;12.10777;3;13;EXTRACT;0;
121.9271;82;-36.15107;12.10777;3;12;EXTRACT;0;
123.9272;82;-36.15107;12.10777;3;11;EXTRACT;0;
125.9272;82;-36.15107;12.10777;3;10;EXTRACT;0;
127.9274;82;-36.15107;12.10777;3;9;EXTRACT;0;
129.9275;82;-36.15107;12.10777;3;8;EXTRACT;0;
131.9275;82;-36.15107;12.10777;3;7;EXTRACT;0;
133.9276;82;-36.15107;12.10777;3;6;EXTRACT;0;
135.9276;82;-36.15107;12.10777;3;5;EXTRACT;0;
137.9277;82;-36.15107;12.10777;3;4;EXTRACT;0;
139.9277;82;-36.15107;12.10777;3;3;EXTRACT;0;
141.9279;82;-36.15107;12.10777;3;2;EXTRACT;0;
