Time;PlayerID;PositionX;PositionZ;ForwardX;ForwardZ;Velocity;IsExtracting;IsAllowedToMove;WaitingForExtraction;CoinAmount;VisiblePlayers;
0.03100586;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.06433105;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.1143799;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.1477051;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.1810303;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.230957;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.2642822;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.3143311;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.3476563;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.3809814;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.4310303;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.4643555;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.5144043;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.5477295;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.5810547;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.6311035;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.6644287;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.7143555;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.7476807;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.7811279;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.8310547;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.8643799;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.9144287;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
0.9477539;0;10.47099;2.840431;0.2685629;-0.9632622;0;False;True;False;284;( );
