Time;PatchID;PositionX;PositionZ;Radius;CoinAmount;PatchEvent;TriggerPlayer;
0;0;-40.87778;30.47906;3;16;CREATED;;
0;1;-33.93683;24.88912;3;16;CREATED;;
0;2;-18.60781;-40.17613;3;16;CREATED;;
0;3;-14.435;-18.96239;3;16;CREATED;;
0;4;-26.97103;-6.969791;3;16;CREATED;;
0;5;-41.40372;-36.93587;3;16;CREATED;;
0;6;31.49125;-44.74672;3;16;CREATED;;
0;7;4.101727;-2.766457;3;16;CREATED;;
0;8;8.793369;34.164;3;16;CREATED;;
0;9;3.923199;17.01945;3;16;CREATED;;
0;10;30.88194;22.78733;3;16;CREATED;;
0;11;-3.001495;-10.64047;3;16;CREATED;;
0;12;-3.647808;-20.9328;3;16;CREATED;;
0;13;38.51685;32.59897;3;16;CREATED;;
0;14;21.3493;-8.922619;3;16;CREATED;;
20.83008;9;3.923199;17.01945;3;16;DISCOVER;2;
24.40039;9;3.923199;17.01945;3;15;EXTRACT;2;
24.40039;4;-26.97103;-6.969791;3;16;DISCOVER;0;
26.4082;9;3.923199;17.01945;3;14;EXTRACT;2;
27.8125;4;-26.97103;-6.969791;3;15;EXTRACT;0;
28.41309;9;3.923199;17.01945;3;13;EXTRACT;2;
29.81738;4;-26.97103;-6.969791;3;14;EXTRACT;0;
30.41797;9;3.923199;17.01945;3;12;EXTRACT;2;
31.82227;4;-26.97103;-6.969791;3;13;EXTRACT;0;
32.42383;9;3.923199;17.01945;3;11;EXTRACT;2;
33.82715;4;-26.97103;-6.969791;3;12;EXTRACT;0;
34.38867;9;3.923199;17.01945;3;10;EXTRACT;2;
35.83008;4;-26.97103;-6.969791;3;11;EXTRACT;0;
36.39258;9;3.923199;17.01945;3;9;EXTRACT;2;
37.83594;4;-26.97103;-6.969791;3;10;EXTRACT;0;
38.39648;9;3.923199;17.01945;3;8;EXTRACT;2;
39.83789;4;-26.97103;-6.969791;3;9;EXTRACT;0;
40.40039;9;3.923199;17.01945;3;7;EXTRACT;2;
41.8418;4;-26.97103;-6.969791;3;8;EXTRACT;0;
42.40332;9;3.923199;17.01945;3;6;EXTRACT;2;
43.84668;4;-26.97103;-6.969791;3;7;EXTRACT;0;
44.40918;9;3.923199;17.01945;3;5;EXTRACT;2;
45.8125;4;-26.97103;-6.969791;3;6;EXTRACT;0;
46.41406;9;3.923199;17.01945;3;4;EXTRACT;2;
47.81641;4;-26.97103;-6.969791;3;5;EXTRACT;0;
48.41797;9;3.923199;17.01945;3;3;EXTRACT;2;
49.82031;4;-26.97103;-6.969791;3;4;EXTRACT;0;
50.42188;9;3.923199;17.01945;3;2;EXTRACT;2;
51.82715;4;-26.97103;-6.969791;3;3;EXTRACT;0;
52.38867;9;3.923199;17.01945;3;1;EXTRACT;2;
53.83496;4;-26.97103;-6.969791;3;2;EXTRACT;0;
54.39648;9;3.923199;17.01945;3;0;EXTRACT;2;
54.36035;9;3.923199;17.01945;3;0;DESTROYED;;
54.39648;15;18.49208;14.64854;3;16;CREATED;;
55.83984;4;-26.97103;-6.969791;3;1;EXTRACT;0;
57.84473;4;-26.97103;-6.969791;3;0;EXTRACT;0;
57.83984;4;-26.97103;-6.969791;3;0;DESTROYED;;
57.84473;16;32.2716;-17.15688;3;16;CREATED;;
62.89648;15;18.49208;14.64854;3;16;DISCOVER;2;
66.58691;14;21.3493;-8.922619;3;16;DISCOVER;3;
66.70703;15;18.49208;14.64854;3;15;EXTRACT;2;
68.71191;15;18.49208;14.64854;3;14;EXTRACT;2;
69.55371;14;21.3493;-8.922619;3;15;EXTRACT;3;
70.71484;15;18.49208;14.64854;3;13;EXTRACT;2;
71.55762;14;21.3493;-8.922619;3;14;EXTRACT;3;
72.72168;15;18.49208;14.64854;3;12;EXTRACT;2;
73.52441;14;21.3493;-8.922619;3;13;EXTRACT;3;
74.6875;15;18.49208;14.64854;3;11;EXTRACT;2;
75.5293;14;21.3493;-8.922619;3;12;EXTRACT;3;
76.69238;15;18.49208;14.64854;3;10;EXTRACT;2;
77.53418;14;21.3493;-8.922619;3;11;EXTRACT;3;
78.7002;15;18.49208;14.64854;3;9;EXTRACT;2;
79.54199;14;21.3493;-8.922619;3;10;EXTRACT;3;
80.7041;15;18.49208;14.64854;3;8;EXTRACT;2;
81.55078;14;21.3493;-8.922619;3;9;EXTRACT;3;
82.71191;15;18.49208;14.64854;3;7;EXTRACT;2;
83.55371;14;21.3493;-8.922619;3;8;EXTRACT;3;
83.55371;14;21.3493;-8.922619;3;8;DISCOVER;1;
84.71875;15;18.49208;14.64854;3;6;EXTRACT;2;
85.56055;14;21.3493;-8.922619;3;7;EXTRACT;3;
86.52344;14;21.3493;-8.922619;3;6;EXTRACT;1;
86.72461;15;18.49208;14.64854;3;5;EXTRACT;2;
87.52539;14;21.3493;-8.922619;3;5;EXTRACT;3;
88.5293;14;21.3493;-8.922619;3;4;EXTRACT;1;
88.69043;15;18.49208;14.64854;3;4;EXTRACT;2;
89.53223;14;21.3493;-8.922619;3;3;EXTRACT;3;
90.53418;14;21.3493;-8.922619;3;2;EXTRACT;1;
90.73438;15;18.49208;14.64854;3;3;EXTRACT;2;
91.53809;14;21.3493;-8.922619;3;1;EXTRACT;3;
92.54004;14;21.3493;-8.922619;3;0;EXTRACT;1;
92.51953;14;21.3493;-8.922619;3;0;DESTROYED;;
92.54004;17;-10.55866;38.8251;3;16;CREATED;;
92.74121;15;18.49208;14.64854;3;2;EXTRACT;2;
94.74414;15;18.49208;14.64854;3;1;EXTRACT;2;
96.7168;15;18.49208;14.64854;3;0;EXTRACT;2;
96.67969;15;18.49208;14.64854;3;0;DESTROYED;;
96.7168;18;5.807407;-37.78853;3;16;CREATED;;
103.7734;11;-3.001495;-10.64047;3;16;DISCOVER;0;
105.2168;7;4.101727;-2.766457;3;16;DISCOVER;1;
107.1006;11;-3.001495;-10.64047;3;15;EXTRACT;0;
108.1025;7;4.101727;-2.766457;3;15;EXTRACT;1;
109.0674;11;-3.001495;-10.64047;3;14;EXTRACT;0;
110.1104;7;4.101727;-2.766457;3;14;EXTRACT;1;
111.0732;11;-3.001495;-10.64047;3;13;EXTRACT;0;
112.1162;7;4.101727;-2.766457;3;13;EXTRACT;1;
113.0781;11;-3.001495;-10.64047;3;12;EXTRACT;0;
114.1191;7;4.101727;-2.766457;3;12;EXTRACT;1;
115.0801;11;-3.001495;-10.64047;3;11;EXTRACT;0;
116.1211;7;4.101727;-2.766457;3;11;EXTRACT;1;
116.4424;7;4.101727;-2.766457;3;11;DISCOVER;3;
117.0859;11;-3.001495;-10.64047;3;10;EXTRACT;0;
118.0879;7;4.101727;-2.766457;3;10;EXTRACT;1;
119.0928;11;-3.001495;-10.64047;3;9;EXTRACT;0;
119.293;7;4.101727;-2.766457;3;9;EXTRACT;3;
120.0947;7;4.101727;-2.766457;3;8;EXTRACT;1;
121.0977;11;-3.001495;-10.64047;3;8;EXTRACT;0;
121.2998;7;4.101727;-2.766457;3;7;EXTRACT;3;
122.1016;7;4.101727;-2.766457;3;6;EXTRACT;1;
123.1025;11;-3.001495;-10.64047;3;7;EXTRACT;0;
123.3027;7;4.101727;-2.766457;3;5;EXTRACT;3;
124.1035;7;4.101727;-2.766457;3;4;EXTRACT;1;
125.1045;11;-3.001495;-10.64047;3;6;EXTRACT;0;
125.3047;7;4.101727;-2.766457;3;3;EXTRACT;3;
126.1055;7;4.101727;-2.766457;3;2;EXTRACT;1;
127.0664;11;-3.001495;-10.64047;3;5;EXTRACT;0;
127.3076;7;4.101727;-2.766457;3;1;EXTRACT;3;
128.1084;7;4.101727;-2.766457;3;0;EXTRACT;1;
128.0801;7;4.101727;-2.766457;3;0;DESTROYED;;
128.1084;19;17.54887;-15.97896;3;16;CREATED;;
129.0693;11;-3.001495;-10.64047;3;4;EXTRACT;0;
131.0732;11;-3.001495;-10.64047;3;3;EXTRACT;0;
133.0781;11;-3.001495;-10.64047;3;2;EXTRACT;0;
134.4434;11;-3.001495;-10.64047;3;2;DISCOVER;1;
135.083;11;-3.001495;-10.64047;3;1;EXTRACT;0;
136.6055;11;-3.001495;-10.64047;3;0;EXTRACT;1;
136.5996;11;-3.001495;-10.64047;3;0;DESTROYED;;
136.6055;20;9.880951;8.195774;3;16;CREATED;;
142.5381;12;-3.647808;-20.9328;3;16;DISCOVER;0;
145.8223;12;-3.647808;-20.9328;3;15;EXTRACT;0;
147.7852;12;-3.647808;-20.9328;3;14;EXTRACT;0;
149.792;12;-3.647808;-20.9328;3;13;EXTRACT;0;
151.8018;12;-3.647808;-20.9328;3;12;EXTRACT;0;
153.8135;12;-3.647808;-20.9328;3;11;EXTRACT;0;
155.1387;12;-3.647808;-20.9328;3;11;DISCOVER;1;
155.8232;12;-3.647808;-20.9328;3;10;EXTRACT;0;
157.7852;12;-3.647808;-20.9328;3;9;EXTRACT;0;
158.1855;12;-3.647808;-20.9328;3;8;EXTRACT;1;
159.79;12;-3.647808;-20.9328;3;7;EXTRACT;0;
160.1904;12;-3.647808;-20.9328;3;6;EXTRACT;1;
161.7949;12;-3.647808;-20.9328;3;5;EXTRACT;0;
162.1953;12;-3.647808;-20.9328;3;4;EXTRACT;1;
163.7969;12;-3.647808;-20.9328;3;3;EXTRACT;0;
164.1973;12;-3.647808;-20.9328;3;2;EXTRACT;1;
165.7998;12;-3.647808;-20.9328;3;1;EXTRACT;0;
166.2012;12;-3.647808;-20.9328;3;0;EXTRACT;1;
166.2002;12;-3.647808;-20.9328;3;0;DESTROYED;;
166.2012;21;-33.07537;-30.37942;3;16;CREATED;;
189.4971;18;5.807407;-37.78853;3;16;DISCOVER;3;
192.7441;18;5.807407;-37.78853;3;15;EXTRACT;3;
193.3467;6;31.49125;-44.74672;3;16;DISCOVER;0;
194.749;18;5.807407;-37.78853;3;14;EXTRACT;3;
196.2725;6;31.49125;-44.74672;3;15;EXTRACT;0;
196.7539;18;5.807407;-37.78853;3;13;EXTRACT;3;
198.2783;6;31.49125;-44.74672;3;14;EXTRACT;0;
198.7588;18;5.807407;-37.78853;3;12;EXTRACT;3;
200.2832;6;31.49125;-44.74672;3;13;EXTRACT;0;
200.7646;18;5.807407;-37.78853;3;11;EXTRACT;3;
202.2871;6;31.49125;-44.74672;3;12;EXTRACT;0;
202.7676;18;5.807407;-37.78853;3;10;EXTRACT;3;
204.291;6;31.49125;-44.74672;3;11;EXTRACT;0;
204.7715;18;5.807407;-37.78853;3;9;EXTRACT;3;
205.8945;6;31.49125;-44.74672;3;11;DISCOVER;1;
206.2539;6;31.49125;-44.74672;3;10;EXTRACT;0;
206.7764;18;5.807407;-37.78853;3;8;EXTRACT;3;
208.2578;6;31.49125;-44.74672;3;9;EXTRACT;0;
208.6582;6;31.49125;-44.74672;3;8;EXTRACT;1;
208.7793;18;5.807407;-37.78853;3;7;EXTRACT;3;
210.1426;19;17.54887;-15.97896;3;16;DISCOVER;2;
210.2617;6;31.49125;-44.74672;3;7;EXTRACT;0;
210.6631;6;31.49125;-44.74672;3;6;EXTRACT;1;
210.7822;18;5.807407;-37.78853;3;6;EXTRACT;3;
212.2646;6;31.49125;-44.74672;3;5;EXTRACT;0;
212.665;6;31.49125;-44.74672;3;4;EXTRACT;1;
212.7852;18;5.807407;-37.78853;3;5;EXTRACT;3;
213.4658;19;17.54887;-15.97896;3;15;EXTRACT;2;
214.2666;6;31.49125;-44.74672;3;3;EXTRACT;0;
214.668;6;31.49125;-44.74672;3;2;EXTRACT;1;
214.7881;18;5.807407;-37.78853;3;4;EXTRACT;3;
215.4697;19;17.54887;-15.97896;3;14;EXTRACT;2;
216.2715;6;31.49125;-44.74672;3;1;EXTRACT;0;
216.6719;6;31.49125;-44.74672;3;0;EXTRACT;1;
216.6396;6;31.49125;-44.74672;3;0;DESTROYED;;
216.6719;22;-13.95421;31.34428;3;16;CREATED;;
