Time;PatchID;PositionX;PositionZ;Radius;CoinAmount;PatchEvent;TriggerPlayer;
0;144;17.55658;36.98471;3;48;CREATED;;
0;145;-30.90634;43.8662;3;48;CREATED;;
0;146;-7.994682;37.44225;3;48;CREATED;;
0;147;33.41561;4.478168;3;48;CREATED;;
0;148;-0.2160721;-25.11296;3;48;CREATED;;
25.66113;144;17.55658;36.98471;3;48;DISCOVER;2;
29.34863;144;17.55658;36.98471;3;47;EXTRACT;2;
31.35352;144;17.55658;36.98471;3;46;EXTRACT;2;
33.35645;144;17.55658;36.98471;3;45;EXTRACT;2;
35.32227;144;17.55658;36.98471;3;44;EXTRACT;2;
37.32715;144;17.55658;36.98471;3;43;EXTRACT;2;
39.33008;144;17.55658;36.98471;3;42;EXTRACT;2;
41.33398;144;17.55658;36.98471;3;41;EXTRACT;2;
43.33887;144;17.55658;36.98471;3;40;EXTRACT;2;
45.3418;144;17.55658;36.98471;3;39;EXTRACT;2;
47.34863;144;17.55658;36.98471;3;38;EXTRACT;2;
48.63477;144;17.55658;36.98471;3;38;DISCOVER;0;
49.3584;144;17.55658;36.98471;3;37;EXTRACT;2;
51.28516;144;17.55658;36.98471;3;36;EXTRACT;0;
51.3252;144;17.55658;36.98471;3;35;EXTRACT;2;
53.28906;144;17.55658;36.98471;3;34;EXTRACT;0;
53.3291;144;17.55658;36.98471;3;33;EXTRACT;2;
55.29395;144;17.55658;36.98471;3;32;EXTRACT;0;
55.33398;144;17.55658;36.98471;3;31;EXTRACT;2;
56.61816;144;17.55658;36.98471;3;31;DISCOVER;1;
57.30078;144;17.55658;36.98471;3;30;EXTRACT;0;
57.33984;144;17.55658;36.98471;3;29;EXTRACT;2;
59.30566;144;17.55658;36.98471;3;28;EXTRACT;0;
59.3457;144;17.55658;36.98471;3;27;EXTRACT;1;
59.3457;144;17.55658;36.98471;3;26;EXTRACT;2;
61.31348;144;17.55658;36.98471;3;25;EXTRACT;0;
61.31348;144;17.55658;36.98471;3;24;EXTRACT;1;
61.35352;144;17.55658;36.98471;3;23;EXTRACT;2;
63.28027;144;17.55658;36.98471;3;22;EXTRACT;0;
63.32031;144;17.55658;36.98471;3;21;EXTRACT;1;
63.36035;144;17.55658;36.98471;3;20;EXTRACT;2;
65.28418;144;17.55658;36.98471;3;19;EXTRACT;0;
65.32324;144;17.55658;36.98471;3;18;EXTRACT;1;
65.32324;144;17.55658;36.98471;3;17;EXTRACT;2;
67.28906;144;17.55658;36.98471;3;16;EXTRACT;0;
67.3291;144;17.55658;36.98471;3;15;EXTRACT;1;
67.3291;144;17.55658;36.98471;3;14;EXTRACT;2;
69.2959;144;17.55658;36.98471;3;13;EXTRACT;0;
69.33594;144;17.55658;36.98471;3;12;EXTRACT;1;
69.33594;144;17.55658;36.98471;3;11;EXTRACT;2;
71.30371;144;17.55658;36.98471;3;10;EXTRACT;0;
71.34375;144;17.55658;36.98471;3;9;EXTRACT;2;
71.34375;144;17.55658;36.98471;3;8;EXTRACT;1;
73.30664;144;17.55658;36.98471;3;7;EXTRACT;0;
73.34766;144;17.55658;36.98471;3;6;EXTRACT;2;
73.34766;144;17.55658;36.98471;3;5;EXTRACT;1;
75.3125;144;17.55658;36.98471;3;4;EXTRACT;0;
75.35352;144;17.55658;36.98471;3;3;EXTRACT;2;
75.35352;144;17.55658;36.98471;3;2;EXTRACT;1;
77.31641;144;17.55658;36.98471;3;1;EXTRACT;0;
77.35547;144;17.55658;36.98471;3;0;EXTRACT;2;
77.32031;144;17.55658;36.98471;3;0;DESTROYED;;
77.35547;149;-19.23323;-5.780872;3;48;CREATED;;
108.1113;146;-7.994682;37.44225;3;48;DISCOVER;1;
108.9551;146;-7.994682;37.44225;3;48;DISCOVER;0;
111.2803;146;-7.994682;37.44225;3;47;EXTRACT;1;
111.9219;146;-7.994682;37.44225;3;46;EXTRACT;0;
113.2832;146;-7.994682;37.44225;3;45;EXTRACT;1;
113.9248;146;-7.994682;37.44225;3;44;EXTRACT;0;
115.25;146;-7.994682;37.44225;3;43;EXTRACT;1;
115.9316;146;-7.994682;37.44225;3;42;EXTRACT;0;
117.2549;146;-7.994682;37.44225;3;41;EXTRACT;1;
117.9355;146;-7.994682;37.44225;3;40;EXTRACT;0;
119.2568;146;-7.994682;37.44225;3;39;EXTRACT;1;
119.9375;146;-7.994682;37.44225;3;38;EXTRACT;0;
121.2607;146;-7.994682;37.44225;3;37;EXTRACT;1;
121.9424;146;-7.994682;37.44225;3;36;EXTRACT;0;
123.2646;146;-7.994682;37.44225;3;35;EXTRACT;1;
