Time;PatchID;PositionX;PositionZ;Radius;CoinAmount;PatchEvent;TriggerPlayer;
0;20;44.2673;30.32793;3;48;CREATED;;
0;21;-1.258636;-40.69252;3;48;CREATED;;
0;22;30.11225;13.70116;3;48;CREATED;;
0;23;1.178127;-3.916203;3;48;CREATED;;
0;24;33.09644;36.39713;3;48;CREATED;;
135.7969;21;-1.258636;-40.69252;3;48;DISCOVER;3;
138.7734;21;-1.258636;-40.69252;3;47;EXTRACT;3;
140.7734;21;-1.258636;-40.69252;3;46;EXTRACT;3;
142.7813;21;-1.258636;-40.69252;3;45;EXTRACT;3;
144.7813;21;-1.258636;-40.69252;3;44;EXTRACT;3;
145.3828;21;-1.258636;-40.69252;3;44;DISCOVER;2;
146.7891;21;-1.258636;-40.69252;3;43;EXTRACT;3;
148.7578;21;-1.258636;-40.69252;3;42;EXTRACT;3;
149.3594;21;-1.258636;-40.69252;3;41;EXTRACT;2;
150.7578;21;-1.258636;-40.69252;3;40;EXTRACT;3;
151.3594;21;-1.258636;-40.69252;3;39;EXTRACT;2;
152.7656;21;-1.258636;-40.69252;3;38;EXTRACT;3;
153.3672;21;-1.258636;-40.69252;3;37;EXTRACT;2;
154.7734;21;-1.258636;-40.69252;3;36;EXTRACT;3;
155.375;21;-1.258636;-40.69252;3;35;EXTRACT;2;
156.7813;21;-1.258636;-40.69252;3;34;EXTRACT;3;
157.3828;21;-1.258636;-40.69252;3;33;EXTRACT;2;
158.7813;21;-1.258636;-40.69252;3;32;EXTRACT;3;
159.3828;21;-1.258636;-40.69252;3;31;EXTRACT;2;
160.7891;21;-1.258636;-40.69252;3;30;EXTRACT;3;
161.3516;21;-1.258636;-40.69252;3;29;EXTRACT;2;
162.7891;21;-1.258636;-40.69252;3;28;EXTRACT;3;
163.3516;21;-1.258636;-40.69252;3;27;EXTRACT;2;
164.7969;21;-1.258636;-40.69252;3;26;EXTRACT;3;
165.1172;21;-1.258636;-40.69252;3;26;DISCOVER;1;
165.3594;21;-1.258636;-40.69252;3;25;EXTRACT;2;
166.8047;21;-1.258636;-40.69252;3;24;EXTRACT;3;
167.3672;21;-1.258636;-40.69252;3;23;EXTRACT;2;
167.8047;21;-1.258636;-40.69252;3;22;EXTRACT;1;
168.8047;21;-1.258636;-40.69252;3;21;EXTRACT;3;
169.1641;21;-1.258636;-40.69252;3;21;DISCOVER;0;
169.3672;21;-1.258636;-40.69252;3;20;EXTRACT;2;
169.8125;21;-1.258636;-40.69252;3;19;EXTRACT;1;
170.8125;21;-1.258636;-40.69252;3;18;EXTRACT;3;
171.3672;21;-1.258636;-40.69252;3;17;EXTRACT;2;
171.6875;21;-1.258636;-40.69252;3;16;EXTRACT;0;
171.8125;21;-1.258636;-40.69252;3;15;EXTRACT;1;
172.7734;21;-1.258636;-40.69252;3;14;EXTRACT;3;
173.375;21;-1.258636;-40.69252;3;13;EXTRACT;2;
173.6953;21;-1.258636;-40.69252;3;12;EXTRACT;0;
173.8125;21;-1.258636;-40.69252;3;11;EXTRACT;1;
174.7734;21;-1.258636;-40.69252;3;10;EXTRACT;3;
175.375;21;-1.258636;-40.69252;3;9;EXTRACT;2;
175.6563;21;-1.258636;-40.69252;3;8;EXTRACT;0;
175.8125;21;-1.258636;-40.69252;3;7;EXTRACT;1;
176.7813;21;-1.258636;-40.69252;3;6;EXTRACT;3;
177.3828;21;-1.258636;-40.69252;3;5;EXTRACT;2;
177.6563;21;-1.258636;-40.69252;3;4;EXTRACT;0;
177.8203;21;-1.258636;-40.69252;3;3;EXTRACT;1;
178.8203;21;-1.258636;-40.69252;3;2;EXTRACT;3;
179.3828;21;-1.258636;-40.69252;3;1;EXTRACT;2;
179.6641;21;-1.258636;-40.69252;3;0;EXTRACT;0;
179.6406;21;-1.258636;-40.69252;3;0;DESTROYED;;
179.6641;25;32.8979;-0.4968147;3;48;CREATED;;
206.4141;23;1.178127;-3.916203;3;48;DISCOVER;1;
209.4688;23;1.178127;-3.916203;3;47;EXTRACT;1;
211.4688;23;1.178127;-3.916203;3;46;EXTRACT;1;
212.4375;23;1.178127;-3.916203;3;46;DISCOVER;2;
212.5938;23;1.178127;-3.916203;3;46;DISCOVER;0;
213.4766;23;1.178127;-3.916203;3;45;EXTRACT;1;
215.1641;23;1.178127;-3.916203;3;44;EXTRACT;0;
215.4844;23;1.178127;-3.916203;3;43;EXTRACT;1;
216.6875;23;1.178127;-3.916203;3;42;EXTRACT;2;
217.1641;23;1.178127;-3.916203;3;41;EXTRACT;0;
217.4844;23;1.178127;-3.916203;3;40;EXTRACT;1;
218.6484;23;1.178127;-3.916203;3;39;EXTRACT;2;
219.1719;23;1.178127;-3.916203;3;38;EXTRACT;0;
219.4922;23;1.178127;-3.916203;3;37;EXTRACT;1;
220.6563;23;1.178127;-3.916203;3;36;EXTRACT;2;
221.1797;23;1.178127;-3.916203;3;35;EXTRACT;0;
221.4609;23;1.178127;-3.916203;3;34;EXTRACT;1;
222.6563;23;1.178127;-3.916203;3;33;EXTRACT;2;
223.1797;23;1.178127;-3.916203;3;32;EXTRACT;0;
223.4609;23;1.178127;-3.916203;3;31;EXTRACT;1;
224.6641;23;1.178127;-3.916203;3;30;EXTRACT;2;
225.1484;23;1.178127;-3.916203;3;29;EXTRACT;0;
225.4688;23;1.178127;-3.916203;3;28;EXTRACT;1;
226.6641;23;1.178127;-3.916203;3;27;EXTRACT;2;
227.1484;23;1.178127;-3.916203;3;26;EXTRACT;0;
227.4688;23;1.178127;-3.916203;3;25;EXTRACT;1;
228.6719;23;1.178127;-3.916203;3;24;EXTRACT;2;
229.1563;23;1.178127;-3.916203;3;24;DISCOVER;3;
229.1563;23;1.178127;-3.916203;3;23;EXTRACT;0;
229.4766;23;1.178127;-3.916203;3;22;EXTRACT;1;
230.6797;23;1.178127;-3.916203;3;21;EXTRACT;2;
231.1563;23;1.178127;-3.916203;3;20;EXTRACT;0;
231.4766;23;1.178127;-3.916203;3;19;EXTRACT;1;
231.6797;23;1.178127;-3.916203;3;18;EXTRACT;3;
232.6797;23;1.178127;-3.916203;3;17;EXTRACT;2;
233.1563;23;1.178127;-3.916203;3;16;EXTRACT;0;
233.4766;23;1.178127;-3.916203;3;15;EXTRACT;1;
233.6797;23;1.178127;-3.916203;3;14;EXTRACT;3;
234.6797;23;1.178127;-3.916203;3;13;EXTRACT;2;
235.1641;23;1.178127;-3.916203;3;12;EXTRACT;0;
235.4844;23;1.178127;-3.916203;3;11;EXTRACT;1;
235.6406;23;1.178127;-3.916203;3;10;EXTRACT;3;
236.6797;23;1.178127;-3.916203;3;9;EXTRACT;2;
237.1641;23;1.178127;-3.916203;3;8;EXTRACT;0;
237.4844;23;1.178127;-3.916203;3;7;EXTRACT;1;
237.6484;23;1.178127;-3.916203;3;6;EXTRACT;3;
238.6875;23;1.178127;-3.916203;3;5;EXTRACT;2;
239.1641;23;1.178127;-3.916203;3;4;EXTRACT;0;
239.4844;23;1.178127;-3.916203;3;3;EXTRACT;1;
239.6484;23;1.178127;-3.916203;3;2;EXTRACT;3;
240.6875;23;1.178127;-3.916203;3;1;EXTRACT;2;
241.1719;23;1.178127;-3.916203;3;0;EXTRACT;0;
241.1641;23;1.178127;-3.916203;3;0;DESTROYED;;
241.1719;26;13.27882;27.82366;3;48;CREATED;;
302.1875;26;13.27882;27.82366;3;48;DISCOVER;0;
305.1563;26;13.27882;27.82366;3;47;EXTRACT;0;
307.1641;26;13.27882;27.82366;3;46;EXTRACT;0;
309.1641;26;13.27882;27.82366;3;45;EXTRACT;0;
309.8047;26;13.27882;27.82366;3;45;DISCOVER;3;
311.1328;26;13.27882;27.82366;3;44;EXTRACT;0;
312.2969;26;13.27882;27.82366;3;43;EXTRACT;3;
313.1406;26;13.27882;27.82366;3;42;EXTRACT;0;
314.3047;26;13.27882;27.82366;3;41;EXTRACT;3;
315.1484;26;13.27882;27.82366;3;40;EXTRACT;0;
316.3125;26;13.27882;27.82366;3;39;EXTRACT;3;
317.1563;26;13.27882;27.82366;3;38;EXTRACT;0;
318.3203;26;13.27882;27.82366;3;37;EXTRACT;3;
319.1563;26;13.27882;27.82366;3;36;EXTRACT;0;
320.3203;26;13.27882;27.82366;3;35;EXTRACT;3;
321.1641;26;13.27882;27.82366;3;34;EXTRACT;0;
322.3281;26;13.27882;27.82366;3;33;EXTRACT;3;
323.1328;26;13.27882;27.82366;3;32;EXTRACT;0;
324.2969;26;13.27882;27.82366;3;31;EXTRACT;3;
325.1406;26;13.27882;27.82366;3;30;EXTRACT;0;
326.3047;26;13.27882;27.82366;3;29;EXTRACT;3;
327.1641;26;13.27882;27.82366;3;28;EXTRACT;0;
328.1484;26;13.27882;27.82366;3;28;DISCOVER;1;
328.3047;26;13.27882;27.82366;3;27;EXTRACT;3;
329.1484;26;13.27882;27.82366;3;26;EXTRACT;0;
330.3047;26;13.27882;27.82366;3;25;EXTRACT;3;
330.75;26;13.27882;27.82366;3;24;EXTRACT;1;
331.1484;26;13.27882;27.82366;3;23;EXTRACT;0;
332.3125;26;13.27882;27.82366;3;22;EXTRACT;3;
332.75;26;13.27882;27.82366;3;21;EXTRACT;1;
333.1484;26;13.27882;27.82366;3;20;EXTRACT;0;
334.3125;26;13.27882;27.82366;3;19;EXTRACT;3;
334.7578;26;13.27882;27.82366;3;18;EXTRACT;1;
335.1563;26;13.27882;27.82366;3;17;EXTRACT;0;
336.3203;26;13.27882;27.82366;3;16;EXTRACT;3;
336.7578;26;13.27882;27.82366;3;15;EXTRACT;1;
337.1563;26;13.27882;27.82366;3;14;EXTRACT;0;
338.3203;26;13.27882;27.82366;3;13;EXTRACT;3;
338.7656;26;13.27882;27.82366;3;12;EXTRACT;1;
339.1641;26;13.27882;27.82366;3;11;EXTRACT;0;
340.3281;26;13.27882;27.82366;3;10;EXTRACT;3;
340.7266;26;13.27882;27.82366;3;9;EXTRACT;1;
341.1328;26;13.27882;27.82366;3;8;EXTRACT;0;
342.2969;26;13.27882;27.82366;3;7;EXTRACT;3;
342.7344;26;13.27882;27.82366;3;6;EXTRACT;1;
343.1328;26;13.27882;27.82366;3;5;EXTRACT;0;
344.2969;26;13.27882;27.82366;3;4;EXTRACT;3;
344.7422;26;13.27882;27.82366;3;3;EXTRACT;1;
345.1406;26;13.27882;27.82366;3;2;EXTRACT;0;
346.3047;26;13.27882;27.82366;3;1;EXTRACT;3;
346.7422;26;13.27882;27.82366;3;0;EXTRACT;1;
346.7188;26;13.27882;27.82366;3;0;DESTROYED;;
346.7422;27;8.720276;-6.925468;3;48;CREATED;;
362.0156;22;30.11225;13.70116;3;48;DISCOVER;0;
363.1016;22;30.11225;13.70116;3;48;DISCOVER;1;
364.875;22;30.11225;13.70116;3;47;EXTRACT;0;
366.3594;22;30.11225;13.70116;3;46;EXTRACT;1;
366.8828;22;30.11225;13.70116;3;45;EXTRACT;0;
368.375;22;30.11225;13.70116;3;44;EXTRACT;1;
368.8984;22;30.11225;13.70116;3;43;EXTRACT;0;
370.3828;22;30.11225;13.70116;3;42;EXTRACT;1;
370.8984;22;30.11225;13.70116;3;41;EXTRACT;0;
372.3438;22;30.11225;13.70116;3;40;EXTRACT;1;
372.7891;22;30.11225;13.70116;3;40;DISCOVER;3;
372.8672;22;30.11225;13.70116;3;39;EXTRACT;0;
374.3516;22;30.11225;13.70116;3;38;EXTRACT;1;
