Time;PatchID;PositionX;PositionZ;Radius;CoinAmount;PatchEvent;TriggerPlayer;
0;12;15.09788;-36.87913;3;16;CREATED;;
0;13;38.81245;13.71071;3;16;CREATED;;
0;14;14.28498;27.74579;3;16;CREATED;;
0;15;-6.423691;-19.49894;3;16;CREATED;;
0;16;29.71908;36.97523;3;16;CREATED;;
0;17;11.03306;-44.80962;3;16;CREATED;;
0;18;26.25793;-11.78548;3;16;CREATED;;
0;19;17.81955;35.99673;3;16;CREATED;;
0;20;13.67996;11.12965;3;16;CREATED;;
0;21;34.31089;-27.35695;3;16;CREATED;;
0;22;24.80246;-0.2671623;3;16;CREATED;;
0;23;-1.428658;10.04747;3;16;CREATED;;
0;24;-29.08648;-44.18537;3;16;CREATED;;
0;25;22.11034;16.42092;3;16;CREATED;;
0;26;-28.41648;29.63248;3;16;CREATED;;
50.82422;16;29.71908;36.97523;3;16;DISCOVER;0;
55.13843;16;29.71908;36.97523;3;15;EXTRACT;0;
57.13855;16;29.71908;36.97523;3;14;EXTRACT;0;
59.13861;16;29.71908;36.97523;3;13;EXTRACT;0;
61.15533;16;29.71908;36.97523;3;12;EXTRACT;0;
63.1554;16;29.71908;36.97523;3;11;EXTRACT;0;
65.15552;16;29.71908;36.97523;3;10;EXTRACT;0;
67.15552;16;29.71908;36.97523;3;9;EXTRACT;0;
69.15558;16;29.71908;36.97523;3;8;EXTRACT;0;
71.15564;16;29.71908;36.97523;3;7;EXTRACT;0;
73.1557;16;29.71908;36.97523;3;6;EXTRACT;0;
75.15582;16;29.71908;36.97523;3;5;EXTRACT;0;
77.15588;16;29.71908;36.97523;3;4;EXTRACT;0;
79.15594;16;29.71908;36.97523;3;3;EXTRACT;0;
81.15607;16;29.71908;36.97523;3;2;EXTRACT;0;
83.15613;16;29.71908;36.97523;3;1;EXTRACT;0;
85.15619;16;29.71908;36.97523;3;0;EXTRACT;0;
85.15619;16;29.71908;36.97523;3;0;DESTROYED;;
85.18951;27;2.498817;19.89387;3;16;CREATED;;
127.3643;19;17.81955;35.99673;3;16;DISCOVER;0;
130.241;19;17.81955;35.99673;3;15;EXTRACT;0;
132.2411;19;17.81955;35.99673;3;14;EXTRACT;0;
134.2411;19;17.81955;35.99673;3;13;EXTRACT;0;
136.2411;19;17.81955;35.99673;3;12;EXTRACT;0;
138.2413;19;17.81955;35.99673;3;11;EXTRACT;0;
140.2413;19;17.81955;35.99673;3;10;EXTRACT;0;
142.2415;19;17.81955;35.99673;3;9;EXTRACT;0;
144.2415;19;17.81955;35.99673;3;8;EXTRACT;0;
146.2416;19;17.81955;35.99673;3;7;EXTRACT;0;
148.2416;19;17.81955;35.99673;3;6;EXTRACT;0;
150.2417;19;17.81955;35.99673;3;5;EXTRACT;0;
152.2418;19;17.81955;35.99673;3;4;EXTRACT;0;
154.2418;19;17.81955;35.99673;3;3;EXTRACT;0;
156.2418;19;17.81955;35.99673;3;2;EXTRACT;0;
158.2419;19;17.81955;35.99673;3;1;EXTRACT;0;
160.2421;19;17.81955;35.99673;3;0;EXTRACT;0;
160.2421;19;17.81955;35.99673;3;0;DESTROYED;;
160.2754;28;-33.78832;-25.10452;3;16;CREATED;;
248.0642;24;-29.08648;-44.18537;3;16;DISCOVER;0;
252.1453;24;-29.08648;-44.18537;3;15;EXTRACT;0;
254.1619;24;-29.08648;-44.18537;3;14;EXTRACT;0;
256.1619;24;-29.08648;-44.18537;3;13;EXTRACT;0;
258.162;24;-29.08648;-44.18537;3;12;EXTRACT;0;
260.162;24;-29.08648;-44.18537;3;11;EXTRACT;0;
262.1621;24;-29.08648;-44.18537;3;10;EXTRACT;0;
264.1622;24;-29.08648;-44.18537;3;9;EXTRACT;0;
266.1622;24;-29.08648;-44.18537;3;8;EXTRACT;0;
268.1624;24;-29.08648;-44.18537;3;7;EXTRACT;0;
270.1624;24;-29.08648;-44.18537;3;6;EXTRACT;0;
272.1625;24;-29.08648;-44.18537;3;5;EXTRACT;0;
274.1625;24;-29.08648;-44.18537;3;4;EXTRACT;0;
276.1626;24;-29.08648;-44.18537;3;3;EXTRACT;0;
278.1626;24;-29.08648;-44.18537;3;2;EXTRACT;0;
280.1627;24;-29.08648;-44.18537;3;1;EXTRACT;0;
282.1628;24;-29.08648;-44.18537;3;0;EXTRACT;0;
282.1628;24;-29.08648;-44.18537;3;0;DESTROYED;;
282.1794;29;-5.219479;-34.85578;3;16;CREATED;;
313.3843;15;-6.423691;-19.49894;3;16;DISCOVER;0;
318.014;15;-6.423691;-19.49894;3;15;EXTRACT;0;
320.014;15;-6.423691;-19.49894;3;14;EXTRACT;0;
322.014;15;-6.423691;-19.49894;3;13;EXTRACT;0;
324.0142;15;-6.423691;-19.49894;3;12;EXTRACT;0;
326.0143;15;-6.423691;-19.49894;3;11;EXTRACT;0;
328.0143;15;-6.423691;-19.49894;3;10;EXTRACT;0;
330.0144;15;-6.423691;-19.49894;3;9;EXTRACT;0;
332.0144;15;-6.423691;-19.49894;3;8;EXTRACT;0;
334.0145;15;-6.423691;-19.49894;3;7;EXTRACT;0;
336.0146;15;-6.423691;-19.49894;3;6;EXTRACT;0;
338.0146;15;-6.423691;-19.49894;3;5;EXTRACT;0;
340.0146;15;-6.423691;-19.49894;3;4;EXTRACT;0;
342.0148;15;-6.423691;-19.49894;3;3;EXTRACT;0;
344.0149;15;-6.423691;-19.49894;3;2;EXTRACT;0;
346.0149;15;-6.423691;-19.49894;3;1;EXTRACT;0;
348.015;15;-6.423691;-19.49894;3;0;EXTRACT;0;
348.015;15;-6.423691;-19.49894;3;0;DESTROYED;;
348.0316;30;11.79036;-25.05457;3;16;CREATED;;
373.7643;23;-1.428658;10.04747;3;16;DISCOVER;0;
377.9827;23;-1.428658;10.04747;3;15;EXTRACT;0;
379.9828;23;-1.428658;10.04747;3;14;EXTRACT;0;
381.9828;23;-1.428658;10.04747;3;13;EXTRACT;0;
383.9828;23;-1.428658;10.04747;3;12;EXTRACT;0;
385.9829;23;-1.428658;10.04747;3;11;EXTRACT;0;
387.983;23;-1.428658;10.04747;3;10;EXTRACT;0;
389.983;23;-1.428658;10.04747;3;9;EXTRACT;0;
391.9832;23;-1.428658;10.04747;3;8;EXTRACT;0;
393.9832;23;-1.428658;10.04747;3;7;EXTRACT;0;
395.9833;23;-1.428658;10.04747;3;6;EXTRACT;0;
397.9833;23;-1.428658;10.04747;3;5;EXTRACT;0;
399.9834;23;-1.428658;10.04747;3;4;EXTRACT;0;
401.9834;23;-1.428658;10.04747;3;3;EXTRACT;0;
403.9835;23;-1.428658;10.04747;3;2;EXTRACT;0;
405.9835;23;-1.428658;10.04747;3;1;EXTRACT;0;
407.9836;23;-1.428658;10.04747;3;0;EXTRACT;0;
407.9836;23;-1.428658;10.04747;3;0;DESTROYED;;
408.0004;31;-35.30845;-13.17263;3;16;CREATED;;
462.2242;14;14.28498;27.74579;3;16;DISCOVER;0;
467.719;14;14.28498;27.74579;3;15;EXTRACT;0;
469.7191;14;14.28498;27.74579;3;14;EXTRACT;0;
471.7191;14;14.28498;27.74579;3;13;EXTRACT;0;
473.7192;14;14.28498;27.74579;3;12;EXTRACT;0;
475.7192;14;14.28498;27.74579;3;11;EXTRACT;0;
477.7194;14;14.28498;27.74579;3;10;EXTRACT;0;
479.7194;14;14.28498;27.74579;3;9;EXTRACT;0;
481.7195;14;14.28498;27.74579;3;8;EXTRACT;0;
483.7195;14;14.28498;27.74579;3;7;EXTRACT;0;
485.7196;14;14.28498;27.74579;3;6;EXTRACT;0;
487.7197;14;14.28498;27.74579;3;5;EXTRACT;0;
489.7197;14;14.28498;27.74579;3;4;EXTRACT;0;
491.7198;14;14.28498;27.74579;3;3;EXTRACT;0;
493.7198;14;14.28498;27.74579;3;2;EXTRACT;0;
495.72;14;14.28498;27.74579;3;1;EXTRACT;0;
497.72;14;14.28498;27.74579;3;0;EXTRACT;0;
497.72;14;14.28498;27.74579;3;0;DESTROYED;;
497.7367;32;30.14776;-35.98649;3;16;CREATED;;
515.8242;20;13.67996;11.12965;3;16;DISCOVER;0;
522.6208;20;13.67996;11.12965;3;15;EXTRACT;0;
524.6208;20;13.67996;11.12965;3;14;EXTRACT;0;
526.621;20;13.67996;11.12965;3;13;EXTRACT;0;
528.621;20;13.67996;11.12965;3;12;EXTRACT;0;
530.6211;20;13.67996;11.12965;3;11;EXTRACT;0;
532.6212;20;13.67996;11.12965;3;10;EXTRACT;0;
534.6212;20;13.67996;11.12965;3;9;EXTRACT;0;
536.6213;20;13.67996;11.12965;3;8;EXTRACT;0;
538.6215;20;13.67996;11.12965;3;7;EXTRACT;0;
